Date,Index_2x,MA_2x
2021-06-11,7361.889892578125,5540.2594921875
2021-06-14,7377.309814453125,5545.574251953125
2021-06-15,7360.189697265625,5550.743891601563
2021-06-16,7314.410400390625,5555.836852539062
2021-06-17,7310.729736328125,5560.942891601562
2021-06-18,7199.910400390625,5565.939172851563
2021-06-21,7316.590087890625,5571.183212890625
2021-06-22,7359.889892578125,5576.46929296875
2021-06-23,7350.689697265625,5581.669612304688
2021-06-24,7399.990478515625,5586.878252929688
2021-06-25,7428.410400390625,5592.109013671875
2021-06-28,7448.229736328125,5597.288172851562
2021-06-29,7450.609619140625,5602.493732421875
2021-06-30,7462.010009765625,5607.779932617187
2021-07-01,7506.889892578125,5613.141172851562
2021-07-02,7571.689697265625,5618.578251953125
2021-07-06,7554.090087890625,5623.952772460938
2021-07-07,7583.269775390625,5629.330211914063
2021-07-08,7508.649658203125,5634.556291015625
2021-07-09,7606.109619140625,5640.018330078125
2021-07-12,7636.269775390625,5645.619169921875
2021-07-13,7605.429931640625,5651.115569335938
2021-07-14,7615.609619140625,5656.706328125
2021-07-15,7587.069580078125,5662.206327148438
2021-07-16,7521.330322265625,5667.493087890625
2021-07-19,7383.990478515625,5672.44880859375
2021-07-20,7513.130126953125,5677.726369140625
2021-07-21,7584.389892578125,5683.057688476562
2021-07-22,7601.969970703125,5688.443728515625
2021-07-23,7690.590087890625,5694.0381689453125
2021-07-26,7711.609619140625,5699.805848632813
2021-07-27,7669.929931640625,5705.597448242187
2021-07-28,7668.290283203125,5711.47180859375
2021-07-29,7705.309814453125,5717.7694482421875
2021-07-30,7657.529541015625,5723.823407226562
2021-08-02,7641.330322265625,5729.836127929688
2021-08-03,7713.309814453125,5735.7763671875
2021-08-04,7672.330322265625,5741.712408203125
2021-08-05,7725.210205078125,5747.898008789062
2021-08-06,7740.050048828125,5753.93880859375
2021-08-09,7731.710205078125,5760.30580859375
2021-08-10,7740.510009765625,5766.662408203125
2021-08-11,7751.830322265625,5772.877329101562
2021-08-12,7788.670166015625,5779.026049804687
