Date,Price,MA_Index,Cumulative_2x,MA_2x
2012-06-11,1308.9300537109375,1252.7617791748046,1484.8701171875,1372.5335681152344
2012-06-12,1324.1800537109375,1253.1751192626953,1515.3701171875,1373.3602482910155
2012-06-13,1314.8800048828125,1253.5784793701173,1496.77001953125,1374.1669685058594
2012-06-14,1329.0999755859375,1254.0460592041015,1525.2099609375,1375.102128173828
2012-06-15,1342.8399658203125,1254.5476590576172,1552.68994140625,1376.1053278808595
2012-06-18,1344.780029296875,1255.0898392333984,1556.570068359375,1377.189688232422
2012-06-19,1357.97998046875,1255.6522791748048,1582.969970703125,1378.3145681152344
2012-06-20,1355.68994140625,1256.214519165039,1578.389892578125,1379.4390480957031
2012-06-21,1325.510009765625,1256.7830592041016,1518.030029296875,1380.5761281738282
2012-06-22,1335.02001953125,1257.391679321289,1537.050048828125,1381.7933684082032
2012-06-25,1313.719970703125,1257.964379272461,1494.449951171875,1382.938768310547
2012-06-26,1319.989990234375,1258.55919921875,1506.989990234375,1384.128408203125
2012-06-27,1331.8499755859375,1259.1667790527345,1530.7099609375,1385.3435678710937
2012-06-28,1329.0400390625,1259.7043190917968,1525.090087890625,1386.4186479492187
2012-06-29,1362.1600341796875,1260.2881391601563,1591.330078125,1387.5862880859374
2012-07-02,1365.510009765625,1260.8632392578124,1598.030029296875,1388.73648828125
2012-07-03,1374.02001953125,1261.453779296875,1615.050048828125,1389.917568359375
2012-07-05,1367.5799560546875,1261.9982592773438,1602.169921875,1391.0065283203126
2012-07-06,1354.6800537109375,1262.517279296875,1576.3701171875,1392.044568359375
2012-07-09,1352.4599609375,1263.0292392578126,1571.929931640625,1393.06848828125
2012-07-10,1341.469970703125,1263.582419189453,1549.949951171875,1394.1748481445313
2012-07-11,1341.449951171875,1264.1228190917968,1549.909912109375,1395.2556479492187
2012-07-12,1334.760009765625,1264.6253791503907,1536.530029296875,1396.2607680664062
2012-07-13,1356.780029296875,1265.1997592773437,1580.570068359375,1397.4095283203126
2012-07-16,1353.6400146484375,1265.71969921875,1574.2900390625,1398.449408203125
2012-07-17,1363.6700439453125,1266.2417192382813,1594.35009765625,1399.4934482421875
2012-07-18,1372.780029296875,1266.7572592773438,1612.570068359375,1400.5245283203126
2012-07-19,1376.510009765625,1267.2825993652343,1620.030029296875,1401.5752084960936
2012-07-20,1362.6600341796875,1267.795659423828,1592.330078125,1402.6013286132813
2012-07-23,1350.52001953125,1268.293639404297,1568.050048828125,1403.5972885742187
2012-07-24,1338.31005859375,1268.7670595703125,1543.630126953125,1404.54412890625
2012-07-25,1337.8900146484375,1269.1911196289063,1542.7900390625,1405.3922490234374
2012-07-26,1360.02001953125,1269.6702397460938,1587.050048828125,1406.3504892578126
2012-07-27,1385.969970703125,1270.1876997070312,1638.949951171875,1407.3854091796875
2012-07-30,1385.300048828125,1270.7066796875,1637.610107421875,1408.423369140625
2012-07-31,1379.3199462890625,1271.2220395507813,1625.64990234375,1409.4540888671875
2012-08-01,1375.3199462890625,1271.7170993652344,1617.64990234375,1410.4442084960938
2012-08-02,1365.0,1272.2049792480468,1597.010009765625,1411.4199682617189
2012-08-03,1390.989990234375,1272.8080192871093,1648.989990234375,1412.6260483398437
2012-08-06,1394.22998046875,1273.4292592773438,1655.469970703125,1413.8685283203124
2012-08-07,1401.3499755859375,1274.0734592285157,1669.7099609375,1415.1569282226562
2012-08-08,1402.219970703125,1274.7191391601561,1671.449951171875,1416.4482880859375
2012-08-09,1402.800048828125,1275.3396591796875,1672.610107421875,1417.689328125
2012-08-10,1405.8699951171875,1275.9630791015625,1678.75,1418.93616796875
2012-08-13,1404.1099853515625,1276.6200390625,1675.22998046875,1420.250087890625
2012-08-14,1403.9300537109375,1277.2845192871093,1674.8701171875,1421.5790483398437
2012-08-15,1405.530029296875,1277.960859375,1678.070068359375,1422.931728515625
2012-08-16,1415.510009765625,1278.6881394042969,1698.030029296875,1424.3862885742187
2012-08-17,1418.1600341796875,1279.413799560547,1703.330078125,1425.8376088867187
2012-08-20,1418.1300048828125,1280.1556196289062,1703.27001953125,1427.3212490234375
2012-08-21,1413.1700439453125,1280.8527797851561,1693.35009765625,1428.7155693359375
2012-08-22,1413.489990234375,1281.5819196777343,1693.989990234375,1430.1738491210938
2012-08-23,1402.0799560546875,1282.2874196777343,1671.169921875,1431.5848491210938
2012-08-24,1411.1300048828125,1282.949099609375,1689.27001953125,1432.908208984375
2012-08-27,1410.43994140625,1283.5897795410156,1687.889892578125,1434.1895688476563
2012-08-28,1409.300048828125,1284.1993596191405,1685.610107421875,1435.4087290039063
2012-08-29,1410.489990234375,1284.8366596679687,1687.989990234375,1436.6833291015625
2012-08-30,1399.47998046875,1285.4378796386718,1665.969970703125,1437.8857690429688
2012-08-31,1406.5799560546875,1286.0426794433595,1680.169921875,1439.0953686523437
2012-09-04,1404.93994140625,1286.6334592285157,1676.889892578125,1440.2769282226564
