Date,Price,MA_Index
2020-09-22,3315.570068359375,2953.6471958007814
2020-09-23,3236.919921875,2954.2930356445313
2020-09-24,3246.590087890625,2954.958255859375
2020-09-25,3298.4599609375,2955.7059956054686
2020-09-28,3351.60009765625,2956.5623359375
2020-09-29,3335.469970703125,2957.382255859375
2020-09-30,3363.0,2958.3050356445315
2020-10-01,3380.800048828125,2959.2954956054687
2020-10-02,3348.419921875,2960.2234755859376
2020-10-05,3408.60009765625,2961.2799956054687
2020-10-06,3360.969970703125,2962.430575683594
2020-10-07,3419.43994140625,2963.812715332031
2020-10-08,3446.830078125,2965.172115722656
2020-10-09,3477.139892578125,2966.6248154296877
2020-10-12,3534.219970703125,2968.073415527344
2020-10-13,3511.929931640625,2969.47885546875
2020-10-14,3488.669921875,2970.9186352539064
2020-10-15,3483.340087890625,2972.3497553710936
2020-10-16,3483.81005859375,2973.805615722656
2020-10-19,3426.919921875,2975.1780756835938
2020-10-20,3443.1201171875,2976.752115722656
2020-10-21,3435.56005859375,2978.212095703125
2020-10-22,3453.489990234375,2979.801695800781
2020-10-23,3465.389892578125,2981.4499755859374
2020-10-26,3400.969970703125,2982.886655761719
2020-10-27,3390.679931640625,2984.2445356445314
2020-10-28,3271.030029296875,2985.30585546875
2020-10-29,3310.110107421875,2986.4799555664063
2020-10-30,3269.9599609375,2987.543255371094
2020-11-02,3310.239990234375,2988.652835449219
2020-11-03,3369.159912109375,2989.7633754882813
2020-11-04,3443.43994140625,2991.0365952148436
2020-11-05,3510.449951171875,2992.4954750976563
2020-11-06,3509.43994140625,2994.0619150390626
2020-11-09,3550.5,2995.718555175781
2020-11-10,3545.530029296875,2997.406455078125
2020-11-11,3572.659912109375,2999.091375
2020-11-12,3537.010009765625,3000.692854980469
2020-11-13,3585.14990234375,3002.4816948242187
2020-11-16,3626.909912109375,3004.451734863281
2020-11-17,3609.530029296875,3006.3709350585937
2020-11-18,3567.7900390625,3008.2413950195314
2020-11-19,3581.8701171875,3010.0582353515624
2020-11-20,3557.5400390625,3011.8089755859373
2020-11-23,3577.590087890625,3013.4765756835936
2020-11-24,3635.409912109375,3015.2717954101563
2020-11-25,3629.64990234375,3017.0107553710936
