Date,Net Value,ROIC,Cash,Holdings,Price,SMA1,SMA2,Stop Loss
2001-12-06,996.0105447727084,98.60105447727084,990.0,0.0006364920135051872,9443.23674952039,11021.371533054496,13024.752205218523,6.75
2001-12-07,995.9200080773917,98.59200080773917,990.0,0.0006364920135051872,9300.993495252062,11001.585009654698,13015.854287058042,6.75
2001-12-10,995.7321313458389,98.57321313458388,990.0,0.0006364920135051872,9005.81817872586,10981.648930360625,13006.386804827142,6.75
2001-12-11,995.7002506928754,98.57002506928754,990.0,0.0006364920135051872,8955.73011432443,10961.590693652957,12997.48606386782,6.75
2001-12-12,995.7033596652439,98.57033596652438,990.0,0.0006364920135051872,8960.614656946336,10939.3291961227,12988.734572933568,6.75
2001-12-13,995.5258992934494,98.55258992934493,990.0,0.0006364920135051872,8681.804604299834,10917.695492589766,12979.83887861572,6.75
2001-12-14,995.5625286532355,98.55625286532356,990.0,0.0006364920135051872,8739.353417181876,10896.273333512878,12970.516231770227,6.75
2001-12-17,995.6741665414226,98.56741665414225,990.0,0.0006364920135051872,8914.74900081567,10876.123607730942,12961.39616612355,6.75
2001-12-18,995.759802257764,98.5759802257764,990.0,0.0006364920135051872,9049.292270054682,10855.872826727824,12953.356269225822,6.75
2001-12-19,995.826727479112,98.5826727479112,990.0,0.0006364920135051872,9154.439263148097,10835.834751143711,12945.916115566266,6.75
2001-12-20,995.7291051094683,98.57291051094683,990.0,0.0006364920135051872,9001.063623591892,10817.206480474644,12938.243226081207,6.75
2001-12-21,995.7789614363356,98.57789614363357,990.0,0.0006364920135051872,9079.393478184744,10799.319763319741,12930.90133101637,6.75
2001-12-24,995.7765385821842,98.57765385821843,990.0,0.0006364920135051872,9075.586903867972,10782.451365400811,12924.125919211498,6.75
2001-12-26,995.8241780564479,98.58241780564478,990.0,0.0006364920135051872,9150.433835569813,10767.356457695698,12917.194045781009,6.75
2001-12-27,995.9028222210216,98.59028222210216,990.0,0.0006364920135051872,9273.992596567618,10754.999692327918,12910.92130934141,6.75
2001-12-28,995.94251003214,98.594251003214,990.0,0.0006364920135051872,9336.346577884575,10739.961936936092,12904.835717920716,6.75
2001-12-31,995.810047060243,98.5810047060243,990.0,0.0006364920135051872,9128.232463196066,10724.200236474737,12898.949344210487,6.75
2002-01-02,995.8767466110182,98.58767466110183,990.0,0.0006364920135051872,9233.024902629664,10710.444392646134,12892.562516387015,6.75
2002-01-03,995.9846449959712,98.59846449959711,990.0,0.0006364920135051872,9402.545309270305,10697.770866160869,12886.584331526758,6.75
2002-01-04,996.0590120178131,98.60590120178131,990.0,0.0006364920135051872,9519.384201611336,10682.428327689757,12879.816282655043,6.75
2002-01-07,995.9802584522558,98.59802584522558,990.0,0.0006364920135051872,9395.653559456852,10666.119488278624,12872.736662196601,6.75
2002-01-08,995.9373402705727,98.59373402705727,990.0,0.0006364920135051872,9328.224305401052,10649.664302127409,12865.087066244938,6.75
2002-01-09,995.880356208564,98.5880356208564,990.0,0.0006364920135051872,9238.695983285996,10632.75057592893,12857.678962774611,6.75
2002-01-10,995.8947117018446,98.58947117018445,990.0,0.0006364920135051872,9261.250065624814,10618.179891620059,12850.62499884506,6.75
2002-01-11,995.7830916367627,98.57830916367627,990.0,0.0006364920135051872,9085.882484078678,10603.055278200085,12842.836304798428,6.75
2002-01-14,995.7105001059172,98.57105001059172,990.0,0.0006364920135051872,8971.833086277484,10586.54273012008,12834.04738852763,6.75
2002-01-15,995.7885522854027,98.57885522854028,990.0,0.0006364920135051872,9094.461772622892,10569.154976741156,12825.348351825642,6.75
2002-01-16,995.6004807727317,98.56004807727317,990.0,0.0006364920135051872,8798.980433218012,10548.685451849322,12815.516824382357,6.75
2002-01-17,995.7128311146876,98.57128311146876,990.0,0.0006364920135051872,8975.49536124855,10529.374282878818,12806.680811650347,6.75
2002-01-18,995.5994653665913,98.55994653665913,990.0,0.0006364920135051872,8797.385116829279,10508.977540819656,12798.0280414012,6.75
2002-01-22,995.5173291481735,98.55173291481735,990.0,0.0006364920135051872,8668.33994945104,10488.264132317274,12789.998886432619,6.75
2002-01-23,995.6047735729429,98.56047735729429,990.0,0.0006364920135051872,8805.724901522643,10467.62618928571,12782.321272148214,6.75
2002-01-24,995.6442193193391,98.56442193193391,990.0,0.0006364920135051872,8867.698572140887,10447.217164252275,12774.386011321696,6.75
2002-01-25,995.6554863207626,98.56554863207626,990.0,0.0006364920135051872,8885.400289027375,10428.443793070448,12766.888449035352,6.75
2002-01-28,995.6532905580375,98.56532905580374,990.0,0.0006364920135051872,8881.95050068983,10410.286614949702,12758.095556644737,6.75
2002-01-29,995.3297778051531,98.53297778051531,990.0,0.0006364920135051872,8373.675854629848,10392.765822519044,12748.691633405215,6.75
2002-01-30,995.4550031777012,98.54550031777012,990.0,0.0006364920135051872,8570.418892862806,10376.880026479923,12739.833569708118,6.75
2002-01-31,995.6179326798342,98.56179326798342,990.0,0.0006364920135051872,8826.399327300353,10359.762418271714,12731.28127743538,6.75
2002-02-01,995.538400806823,98.5538400806823,990.0,0.0006364920135051872,8701.445877258939,10341.766594056928,12722.382635484913,6.75
2002-02-04,995.2643925972393,98.52643925972393,990.0,0.0006364920135051872,8270.948394541583,10323.518733112038,12713.027228860008,6.75
2002-02-05,995.2218710971482,98.52218710971482,990.0,0.0006364920135051872,8204.142371545577,10305.355346099272,12703.830423159941,6.75
2002-02-06,995.1594972309028,98.51594972309029,990.0,0.0006364920135051872,8106.1460653516315,10288.535696712033,12695.097377657887,6.75
2002-02-07,995.127688164533,98.5127688164533,990.0,0.0006364920135051872,8056.170471479358,10271.240567693965,12686.263825029606,6.75
2002-02-08,995.2800704655425,98.52800704655425,990.0,0.0006364920135051872,8295.580075647671,10256.381180675222,12677.257276807288,6.75
2002-02-11,995.4315048632334,98.54315048632334,990.0,0.0006364920135051872,8533.500417894997,10241.066873423002,12668.643501010449,6.75
2002-02-12,995.3881286350327,98.53881286350327,990.0,0.0006364920135051872,8465.35152163179,10225.055774227088,12660.871979871761,6.75
2002-02-13,995.4952587411666,98.54952587411665,990.0,0.0006364920135051872,8633.664876490782,10210.45031759819,12653.282922455252,6.75
2002-02-14,995.4753118917963,98.54753118917964,990.0,0.0006364920135051872,8602.326149614355,10195.361135857514,12646.651245072075,6.75
