Price,China
Ticker,000001.SS
Date,
2000-01-05,1409.6820068359375
2000-01-06,1463.9420166015625
2000-01-07,1516.60400390625
2000-01-10,1545.112060546875
2000-01-11,1479.781005859375
2000-01-12,1438.02001953125
2000-01-13,1424.4420166015625
2000-01-14,1408.8480224609375
2000-01-17,1433.3299560546875
2000-01-18,1426.623046875
2000-01-19,1440.7239990234375
2000-01-20,1466.863037109375
2000-01-21,1465.0849609375
2000-01-24,1477.343994140625
2000-01-25,1476.5059814453125
2000-01-26,1481.116943359375
2000-01-27,1506.7669677734375
2000-01-28,1534.9969482421875
2000-02-14,1673.9429931640625
2000-02-15,1670.6700439453125
2000-02-16,1693.1090087890625
2000-02-17,1640.6490478515625
2000-02-18,1668.0909423828125
2000-02-21,1677.135986328125
2000-02-22,1632.2939453125
2000-02-23,1594.9300537109375
2000-02-24,1634.3089599609375
2000-02-25,1631.5760498046875
2000-02-28,1704.85498046875
2000-02-29,1714.5780029296875
2000-03-01,1704.85498046875
2000-03-02,1713.0140380859375
2000-03-03,1738.02099609375
2000-03-06,1681.0849609375
2000-03-07,1694.7979736328125
2000-03-08,1726.032958984375
2000-03-09,1732.345947265625
2000-03-10,1705.0489501953125
2000-03-13,1728.886962890625
2000-03-14,1685.3470458984375
2000-03-15,1681.470947265625
2000-03-16,1607.5269775390625
2000-03-17,1658.6009521484375
2000-03-20,1699.248046875
2000-03-21,1710.323974609375
2000-03-22,1720.446044921875
2000-03-23,1747.240966796875
2000-03-24,1730.4990234375
2000-03-27,1775.9139404296875
2000-03-28,1791.4410400390625
2000-03-29,1788.8070068359375
2000-03-30,1810.9840087890625
2000-03-31,1800.2249755859375
2000-04-03,1801.0030517578125
2000-04-04,1760.6920166015625
2000-04-05,1771.198974609375
2000-04-06,1809.1409912109375
2000-04-07,1819.89599609375
2000-04-10,1826.06103515625
2000-04-11,1821.1739501953125
2000-04-12,1807.3280029296875
2000-04-13,1831.5479736328125
2000-04-14,1833.6650390625
2000-04-17,1795.0579833984375
2000-04-18,1813.4949951171875
2000-04-19,1828.7099609375
2000-04-20,1847.0269775390625
2000-04-21,1841.06396484375
2000-04-24,1837.39794921875
2000-04-25,1833.468994140625
2000-04-26,1832.779052734375
2000-04-27,1806.8299560546875
2000-04-28,1836.321044921875
2000-05-08,1836.636962890625
2000-05-09,1806.637939453125
2000-05-10,1752.68896484375
2000-05-11,1724.0479736328125
2000-05-12,1720.6080322265625
2000-05-15,1704.5870361328125
2000-05-16,1724.5379638671875
2000-05-17,1725.39794921875
2000-05-18,1758.5369873046875
2000-05-19,1777.8280029296875
2000-05-22,1824.7359619140625
2000-05-23,1832.074951171875
2000-05-24,1855.4930419921875
2000-05-25,1880.7039794921875
2000-05-26,1879.616943359375
2000-05-29,1898.748046875
2000-05-30,1877.470947265625
2000-05-31,1894.553955078125
2000-06-01,1903.488037109375
2000-06-02,1916.25
2000-06-05,1899.092041015625
2000-06-06,1925.5439453125
2000-06-07,1935.031005859375
2000-06-08,1925.2060546875
2000-06-09,1900.7869873046875
2000-06-12,1912.5570068359375
2000-06-13,1938.6739501953125
2000-06-14,1932.2900390625
2000-06-15,1942.2850341796875
2000-06-16,1926.9439697265625
2000-06-19,1915.2049560546875
2000-06-20,1895.3480224609375
2000-06-21,1913.1309814453125
2000-06-22,1913.9010009765625
2000-06-23,1939.626953125
2000-06-26,1948.6390380859375
2000-06-27,1942.89794921875
2000-06-28,1947.781005859375
2000-06-29,1937.260986328125
2000-06-30,1928.10595703125
2000-07-03,1895.636962890625
2000-07-04,1907.9310302734375
2000-07-05,1909.18701171875
2000-07-06,1902.552001953125
2000-07-07,1932.7919921875
2000-07-10,1948.02099609375
2000-07-11,1960.541015625
2000-07-12,1973.3740234375
2000-07-13,1979.2010498046875
2000-07-14,1987.1920166015625
2000-07-17,1982.47900390625
2000-07-18,1993.9859619140625
2000-07-19,1998.426025390625
2000-07-20,1991.56005859375
2000-07-21,1996.3360595703125
2000-07-24,1989.239013671875
2000-07-25,1996.5770263671875
2000-07-26,2012.3189697265625
2000-07-27,2012.3499755859375
2000-07-28,2012.79296875
2000-07-31,2023.5389404296875
2000-08-01,2028.1510009765625
2000-08-02,2030.6829833984375
2000-08-03,2036.301025390625
2000-08-04,2026.3609619140625
2000-08-07,2039.4189453125
2000-08-08,2049.916015625
2000-08-09,2061.179931640625
2000-08-10,2065.943115234375
2000-08-11,2062.666015625
2000-08-14,2076.305908203125
2000-08-15,2076.822998046875
2000-08-16,2083.467041015625
2000-08-17,2091.5859375
2000-08-18,2090.18310546875
2000-08-21,2108.68994140625
2000-08-22,2074.702880859375
2000-08-23,2057.9189453125
2000-08-24,2071.160888671875
2000-08-25,2086.702880859375
2000-08-28,2100.5849609375
2000-08-29,2105.47607421875
2000-08-30,2076.14306640625
2000-08-31,2021.198974609375
2000-09-01,1999.8590087890625
2000-09-04,2010.60205078125
2000-09-05,1963.7919921875
2000-09-06,1925.906982421875
2000-09-07,1950.6629638671875
2000-09-08,1959.31201171875
2000-09-11,1972.04296875
2000-09-12,1979.094970703125
2000-09-13,1988.93603515625
2000-09-14,1979.5050048828125
2000-09-15,1978.4339599609375
2000-09-18,1946.7530517578125
2000-09-19,1903.154052734375
2000-09-20,1922.2889404296875
2000-09-21,1907.3060302734375
2000-09-22,1891.9840087890625
2000-09-25,1875.9110107421875
2000-09-26,1887.8289794921875
2000-09-27,1914.0860595703125
2000-09-28,1889.2889404296875
2000-09-29,1910.1610107421875
2000-10-09,1915.3499755859375
2000-10-10,1942.1490478515625
2000-10-11,1933.7259521484375
2000-10-12,1926.323974609375
2000-10-13,1918.156982421875
2000-10-16,1902.8089599609375
2000-10-17,1909.489990234375
2000-10-18,1922.844970703125
2000-10-19,1913.4200439453125
2000-10-20,1947.4549560546875
2000-10-23,1958.93798828125
2000-10-24,1956.343994140625
2000-10-25,1977.2540283203125
2000-10-26,1967.6729736328125
2000-10-27,1967.405029296875
2000-10-30,1973.5780029296875
2000-10-31,1961.2869873046875
2000-11-01,1977.363037109375
2000-11-02,1984.260009765625
2000-11-03,1981.6309814453125
2000-11-06,1991.1729736328125
2000-11-07,1997.0770263671875
2000-11-08,2012.907958984375
2000-11-09,2032.4820556640625
2000-11-10,2047.4580078125
2000-11-13,2070.7880859375
2000-11-14,2085.117919921875
2000-11-15,2081.905029296875
2000-11-16,2095.98388671875
2000-11-17,2093.235107421875
2000-11-20,2101.388916015625
2000-11-21,2097.98193359375
2000-11-22,2113.302978515625
2000-11-23,2119.43896484375
2000-11-24,2053.3701171875
2000-11-27,2049.6708984375
2000-11-28,2079.39599609375
2000-11-29,2064.794921875
2000-11-30,2070.613037109375
2000-12-01,2081.843017578125
2000-12-04,2092.138916015625
2000-12-05,2091.669921875
2000-12-06,2075.626953125
2000-12-07,2075.0439453125
2000-12-08,2073.1630859375
2000-12-11,2046.0760498046875
2000-12-12,2059.052978515625
2000-12-13,2056.1201171875
2000-12-14,2051.0791015625
2000-12-15,2039.364013671875
2000-12-18,2044.5450439453125
2000-12-19,2049.031982421875
2000-12-20,2071.26806640625
2000-12-21,2076.885986328125
2000-12-22,2069.76806640625
2000-12-26,2076.26611328125
2000-12-27,2058.243896484375
2000-12-28,2053.7041015625
2000-12-29,2073.47705078125
2001-01-02,2103.468994140625
2001-01-03,2123.89892578125
2001-01-04,2117.405029296875
2001-01-05,2125.300048828125
2001-01-08,2102.06396484375
2001-01-09,2101.135009765625
2001-01-10,2125.614990234375
2001-01-11,2119.14111328125
2001-01-12,2104.7470703125
2001-01-15,2032.4429931640625
2001-01-16,2045.886962890625
2001-01-17,2034.583984375
2001-01-18,2043.1099853515625
2001-01-19,2065.60595703125
2001-02-05,2008.031982421875
2001-02-06,1995.31494140625
2001-02-07,1979.93896484375
2001-02-08,1930.137939453125
2001-02-09,1956.969970703125
2001-02-12,1961.220947265625
2001-02-13,1963.5279541015625
2001-02-14,1963.199951171875
2001-02-15,1946.47900390625
2001-02-16,1941.9639892578125
2001-02-19,1967.550048828125
2001-02-20,1953.218017578125
2001-02-21,1909.3260498046875
2001-02-22,1907.260009765625
2001-02-23,1936.345947265625
2001-02-26,1954.6929931640625
2001-02-27,1962.0419921875
2001-02-28,1959.1800537109375
2001-03-01,1965.1209716796875
2001-03-02,1985.1109619140625
2001-03-05,1984.199951171875
2001-03-06,1990.06005859375
2001-03-07,1991.177001953125
2001-03-08,2000.9000244140625
2001-03-09,2011.6600341796875
2001-03-12,2012.552001953125
2001-03-13,1998.698974609375
2001-03-14,2018.615966796875
2001-03-15,2022.6009521484375
2001-03-16,2020.2359619140625
2001-03-19,2036.616943359375
2001-03-20,2045.79296875
2001-03-21,2066.389892578125
2001-03-22,2087.531982421875
2001-03-23,2053.5390625
2001-03-26,2089.881103515625
2001-03-27,2107.258056640625
2001-03-28,2106.8740234375
2001-03-29,2101.657958984375
2001-03-30,2112.77490234375
2001-04-02,2125.083984375
2001-04-03,2123.052001953125
2001-04-04,2090.718994140625
2001-04-05,2112.60009765625
2001-04-06,2108.60595703125
2001-04-09,2117.366943359375
2001-04-10,2128.47900390625
2001-04-11,2131.39697265625
2001-04-12,2134.798095703125
2001-04-13,2145.39990234375
2001-04-16,2168.05908203125
2001-04-17,2176.678955078125
2001-04-18,2172.56396484375
2001-04-19,2172.8701171875
2001-04-20,2152.3349609375
2001-04-23,2150.426025390625
2001-04-24,2166.174072265625
2001-04-25,2119.179931640625
2001-04-26,2105.055908203125
2001-04-27,2115.10888671875
2001-04-30,2119.18408203125
2001-05-08,2137.993896484375
2001-05-09,2132.889892578125
2001-05-10,2147.282958984375
2001-05-11,2155.405029296875
2001-05-14,2178.466064453125
2001-05-15,2191.06396484375
2001-05-16,2199.5048828125
2001-05-17,2194.64697265625
2001-05-18,2203.3720703125
2001-05-21,2213.594970703125
2001-05-22,2210.3369140625
2001-05-23,2197.594970703125
2001-05-24,2198.297119140625
2001-05-25,2193.575927734375
2001-05-28,2179.698974609375
2001-05-29,2180.27587890625
2001-05-30,2211.200927734375
2001-05-31,2214.257080078125
2001-06-01,2219.591064453125
2001-06-04,2226.779052734375
2001-06-05,2234.987060546875
2001-06-06,2238.5009765625
2001-06-07,2229.81201171875
2001-06-08,2223.068115234375
2001-06-11,2214.623046875
2001-06-12,2222.958984375
2001-06-13,2242.423095703125
2001-06-14,2202.39794921875
2001-06-15,2210.969970703125
2001-06-18,2167.64697265625
2001-06-19,2170.4541015625
2001-06-20,2163.123046875
2001-06-21,2189.14501953125
2001-06-22,2206.06689453125
2001-06-25,2230.197021484375
2001-06-26,2233.591064453125
2001-06-27,2229.827880859375
2001-06-28,2219.25
2001-06-29,2218.029052734375
2001-07-02,2205.985107421875
2001-07-03,2211.830078125
2001-07-04,2202.05810546875
2001-07-05,2181.6630859375
2001-07-06,2170.52099609375
2001-07-09,2169.655029296875
2001-07-10,2189.784912109375
2001-07-11,2168.739990234375
2001-07-12,2165.490966796875
2001-07-13,2161.340087890625
2001-07-16,2146.236083984375
2001-07-17,2140.98095703125
2001-07-18,2146.541015625
2001-07-19,2150.264892578125
2001-07-20,2179.6240234375
2001-07-23,2169.007080078125
2001-07-24,2136.4541015625
2001-07-25,2112.256103515625
2001-07-26,2094.009033203125
2001-07-27,2065.72802734375
2001-07-30,1956.822998046875
2001-07-31,1920.3179931640625
2001-08-01,1986.927978515625
2001-08-02,1957.02294921875
2001-08-03,1958.6920166015625
2001-08-06,1882.1259765625
2001-08-07,1903.9320068359375
2001-08-08,1895.1689453125
2001-08-09,1924.5899658203125
2001-08-10,1955.0360107421875
2001-08-13,1955.0999755859375
2001-08-14,1939.5419921875
2001-08-15,1947.3590087890625
2001-08-16,1919.64501953125
2001-08-17,1924.0030517578125
2001-08-20,1934.489013671875
2001-08-21,1938.8709716796875
2001-08-22,1903.446044921875
2001-08-23,1902.989990234375
2001-08-24,1886.800048828125
2001-08-27,1827.25
2001-08-28,1843.385009765625
2001-08-29,1847.5360107421875
2001-08-30,1839.6309814453125
2001-08-31,1834.137939453125
2001-09-03,1817.18994140625
2001-09-04,1862.3599853515625
2001-09-05,1868.27001953125
2001-09-06,1861.56103515625
2001-09-07,1808.843994140625
2001-09-10,1856.529052734375
2001-09-11,1863.780029296875
2001-09-12,1852.60400390625
2001-09-13,1839.9090576171875
2001-09-14,1818.3819580078125
2001-09-17,1784.6080322265625
2001-09-18,1798.6219482421875
2001-09-19,1822.6949462890625
2001-09-20,1818.4189453125
2001-09-21,1807.01904296875
2001-09-24,1794.9610595703125
