Price,Japan
Ticker,^N225
Date,
2000-03-07,19944.240234375
2000-03-08,19766.80078125
2000-03-09,19662.330078125
2000-03-10,19750.400390625
2000-03-13,19189.9296875
2000-03-14,19141.83984375
2000-03-15,19078.599609375
2000-03-16,19253.23046875
2000-03-17,19566.3203125
2000-03-21,19602.359375
2000-03-22,19733.58984375
2000-03-23,19704.599609375
2000-03-24,19958.080078125
2000-03-27,20281.029296875
2000-03-28,20374.33984375
2000-03-29,20706.650390625
2000-03-30,20441.5
2000-03-31,20337.3203125
2000-04-03,20726.990234375
2000-04-04,20594.9296875
2000-04-05,20462.76953125
2000-04-06,20223.609375
2000-04-07,20252.810546875
2000-04-10,20619.060546875
2000-04-11,20522.51953125
2000-04-12,20833.2109375
2000-04-13,20526.419921875
2000-04-14,20434.6796875
2000-04-17,19008.640625
2000-04-18,18969.51953125
2000-04-19,19086.619140625
2000-04-20,18959.3203125
2000-04-21,18252.6796875
2000-04-24,18480.150390625
2000-04-25,18272.330078125
2000-04-26,18134.310546875
2000-04-27,18019.169921875
2000-04-28,17973.69921875
2000-05-01,18403.080078125
2000-05-02,18439.359375
2000-05-08,18199.9609375
2000-05-09,17844.5390625
2000-05-10,17701.470703125
2000-05-11,16882.4609375
2000-05-12,17357.859375
2000-05-15,17313.689453125
2000-05-16,17551.25
2000-05-17,17404.029296875
2000-05-18,17031.630859375
2000-05-19,16858.169921875
2000-05-22,16386.009765625
2000-05-23,16318.73046875
2000-05-24,16044.4404296875
2000-05-25,16247.8203125
2000-05-26,16008.1396484375
2000-05-29,16245.4404296875
2000-05-30,16228.900390625
2000-05-31,16332.4501953125
2000-06-01,16694.30078125
2000-06-02,16800.060546875
2000-06-05,17201.7890625
2000-06-06,17170.080078125
2000-06-07,17144.9609375
2000-06-08,17004.33984375
2000-06-09,16861.91015625
2000-06-12,16980.609375
2000-06-13,16914.94921875
2000-06-14,16654.419921875
2000-06-15,16338.7001953125
2000-06-16,16318.3095703125
2000-06-19,16591.349609375
2000-06-20,16907.55078125
2000-06-21,17210.080078125
2000-06-22,17106.009765625
2000-06-23,16963.2109375
2000-06-26,16925.400390625
2000-06-27,17279.060546875
2000-06-28,17370.169921875
2000-06-29,17475.900390625
2000-06-30,17411.05078125
2000-07-03,17614.66015625
2000-07-04,17470.150390625
2000-07-05,17435.94921875
2000-07-06,17282.369140625
2000-07-07,17398.240234375
2000-07-10,17572.6796875
2000-07-11,17504.359375
2000-07-12,17342.130859375
2000-07-13,17036.900390625
2000-07-14,17142.900390625
2000-07-17,17286.830078125
2000-07-18,16945.0703125
2000-07-19,16983.5703125
2000-07-21,16811.490234375
2000-07-24,16547.119140625
2000-07-25,16573.58984375
2000-07-26,16502.609375
2000-07-27,16182.009765625
2000-07-28,15838.5703125
2000-07-31,15727.490234375
2000-08-01,16099.669921875
2000-08-02,16206.1904296875
2000-08-03,15814.4404296875
2000-08-04,15667.3603515625
2000-08-07,16002.7099609375
2000-08-08,15820.1103515625
2000-08-09,16034.599609375
2000-08-10,15975.650390625
2000-08-11,16117.5
2000-08-14,16153.91015625
2000-08-15,16298.2900390625
2000-08-16,16356.0302734375
2000-08-17,16161.0302734375
2000-08-18,16280.490234375
2000-08-21,16040.1796875
2000-08-22,16454.740234375
2000-08-23,16436.650390625
2000-08-24,16670.8203125
2000-08-25,16911.330078125
2000-08-28,17181.119140625
2000-08-29,17141.75
2000-08-30,16901.669921875
2000-08-31,16861.259765625
2000-09-01,16739.779296875
2000-09-04,16688.2109375
2000-09-05,16452.26953125
2000-09-06,16399.869140625
2000-09-07,16300.4599609375
2000-09-08,16501.55078125
2000-09-11,16130.900390625
2000-09-12,16040.23046875
2000-09-13,16190.51953125
2000-09-14,16213.2802734375
2000-09-18,16061.16015625
2000-09-19,16124.1904296875
2000-09-20,16458.310546875
2000-09-21,16311.0498046875
2000-09-22,15818.25
2000-09-25,15992.900390625
2000-09-26,15928.6201171875
2000-09-27,15639.9501953125
2000-09-28,15626.9599609375
2000-09-29,15747.259765625
2000-10-02,15902.509765625
2000-10-03,15912.08984375
2000-10-04,16149.080078125
2000-10-05,16099.259765625
2000-10-06,15994.240234375
2000-10-10,15827.7197265625
2000-10-11,15513.5703125
2000-10-12,15550.6396484375
2000-10-13,15330.3095703125
2000-10-16,15512.3203125
2000-10-17,15340.2197265625
2000-10-18,14872.48046875
2000-10-19,14811.080078125
2000-10-20,15198.73046875
2000-10-23,15097.9599609375
2000-10-24,15148.1904296875
2000-10-25,14840.4697265625
2000-10-26,14858.4296875
2000-10-27,14582.2001953125
2000-10-30,14464.5595703125
2000-10-31,14539.599609375
2000-11-01,14872.3896484375
2000-11-02,14837.7802734375
2000-11-06,15371.4404296875
2000-11-07,15340.330078125
2000-11-08,15399.6396484375
2000-11-09,15060.0498046875
2000-11-10,14988.5400390625
2000-11-13,14664.6396484375
2000-11-14,14660.0400390625
2000-11-15,14799.1396484375
2000-11-16,14587.0302734375
2000-11-17,14544.2998046875
2000-11-20,14531.650390625
2000-11-21,14408.4599609375
2000-11-22,14301.3095703125
2000-11-24,14315.349609375
2000-11-27,14720.3896484375
2000-11-28,14658.8701171875
2000-11-29,14507.6396484375
2000-11-30,14648.509765625
2000-12-01,14835.330078125
2000-12-04,14954.73046875
2000-12-05,14695.0498046875
2000-12-06,14889.3701171875
2000-12-07,14720.3603515625
2000-12-08,14696.509765625
2000-12-11,15015.7001953125
2000-12-12,15114.6396484375
2000-12-13,15168.6796875
2000-12-14,14927.1904296875
2000-12-15,14552.2900390625
2000-12-18,14483.900390625
2000-12-19,14132.3701171875
2000-12-20,13914.4296875
2000-12-21,13423.2099609375
2000-12-22,13427.080078125
2000-12-25,13931.6103515625
2000-12-26,14007.849609375
2000-12-27,13981.490234375
2000-12-28,13946.9599609375
