Price,Germany
Ticker,
Date,
2018-05-25,14231.810742187501
2018-05-28,14149.80595703125
2018-05-29,13933.160742187501
2018-05-30,14062.135742187502
2018-05-31,13865.378613281251
2018-06-01,13996.696484375001
2018-06-04,14047.825
2018-06-05,14065.842871093751
2018-06-06,14113.077343750001
2018-06-07,14092.154785156252
2018-06-08,14043.204785156251
2018-06-11,14127.201171875002
2018-06-12,14126.529785156252
2018-06-13,14179.6380859375
2018-06-14,14417.809570312502
2018-06-15,14311.60478515625
2018-06-18,14117.52138671875
2018-06-19,13945.766699218751
2018-06-20,13964.676171875
2018-06-21,13763.101171875001
2018-06-22,13837.69169921875
2018-06-25,13497.3630859375
2018-06-26,13457.773828125
2018-06-27,13583.471386718751
2018-06-28,13394.953515625
2018-06-29,13536.6
2018-07-02,13461.986914062501
2018-07-03,13584.05361328125
2018-07-04,13549.37138671875
2018-07-05,13710.71904296875
2018-07-06,13745.7869140625
2018-07-09,13798.27861328125
2018-07-10,13870.834570312501
2018-07-11,13658.842871093751
2018-07-12,13742.266699218751
2018-07-13,13794.803515625
2018-07-16,13817.121484375
2018-07-17,13927.694042968751
2018-07-18,14042.53447265625
2018-07-19,13954.919042968751
2018-07-20,13817.5619140625
2018-07-23,13803.427343750001
2018-07-24,13958.328613281252
2018-07-25,13837.2630859375
2018-07-26,14090.153515625001
2018-07-27,14146.440429687502
2018-07-30,14078.020214843751
2018-07-31,14086.050000000001
2018-08-01,14010.75478515625
2018-08-02,13800.963085937501
2018-08-03,13877.3357421875
2018-08-06,13858.030957031251
2018-08-07,13913.009472656251
2018-08-08,13896.894042968752
2018-08-09,13943.721386718751
2018-08-10,13666.7845703125
2018-08-13,13594.614257812502
2018-08-14,13594.75712890625
2018-08-15,13379.310742187501
2018-08-16,13460.886914062501
2018-08-17,13431.60478515625
2018-08-20,13564.429785156251
2018-08-21,13622.9392578125
2018-08-22,13624.270214843751
2018-08-23,13602.1380859375
2018-08-24,13633.971484375
2018-08-27,13792.14052734375
2018-08-28,13780.1619140625
2018-08-29,13817.847656250002
2018-08-30,13743.664257812501
2018-08-31,13600.465527343751
2018-09-03,13581.051171875
2018-09-04,13431.230957031252
2018-09-05,13244.505957031251
2018-09-06,13150.775000000001
2018-09-07,13155.592871093751
2018-09-10,13184.973828125001
2018-09-11,13167.296484375001
2018-09-12,13235.529785156252
2018-09-13,13261.10478515625
2018-09-14,13336.7630859375
2018-09-17,13306.051171875
2018-09-18,13373.4369140625
2018-09-19,13440.921484375001
2018-09-20,13559.128515625001
2018-09-21,13673.967871093751
2018-09-24,13585.902343750002
2018-09-25,13612.126171875001
2018-09-26,13624.478613281251
2018-09-27,13679.148828125
2018-09-28,13471.403515625001
2018-10-01,13572.933300781251
2018-10-02,13516.338085937501
2018-10-04,13468.55361328125
2018-10-05,13323.090429687501
2018-10-08,13141.876171875001
2018-10-09,13174.94169921875
2018-10-10,12883.750000000002
2018-10-11,12693.2845703125
2018-10-12,12676.190527343751
2018-10-15,12775.576171875002
